etime;jboss_16_threads;localhost_processload_jboss_27;jboss_16_vmstk;jboss_16_vmsize;jboss_16_conns;jboss_16_vmrss;jboss_16_vmswap;jboss_16_vmdata
1286843400; 2.9499666667e+02; 2.2991111111e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8766985421e+09; 1.8205246259e+09; 4.6329774080e+09
1286843700; 2.9500000000e+02; 2.1671111111e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8763761186e+09; 1.8208470494e+09; 4.6329774080e+09
1286844000; 2.9400333333e+02; 2.0601568845e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8763505459e+09; 1.8208726221e+09; 4.6329774080e+09
1286844300; 2.9598666667e+02; 2.0402648918e-01; 8.6016000000e+04; 4.6973533662e+09; 0.0000000000e+00; 2.8765091430e+09; 1.8208442231e+09; 4.6329774080e+09
1286844600; 2.9600000000e+02; 6.0864671126e-01; 8.6016000000e+04; 4.6973542400e+09; 0.0000000000e+00; 2.8764571375e+09; 1.8208971025e+09; 4.6329774080e+09
1286844900; 2.9500333333e+02; 2.0136666667e-01; 8.6016000000e+04; 4.6972236049e+09; 0.0000000000e+00; 2.8763018308e+09; 1.8209217741e+09; 4.6329774080e+09
1286845200; 2.9500000000e+02; 2.1661111111e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8763176414e+09; 1.8209055266e+09; 4.6329774080e+09
1286845500; 2.9599666667e+02; 2.1002222222e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8764156723e+09; 1.8208074957e+09; 4.6329774080e+09
1286845800; 2.9600000000e+02; 2.0335555556e-01; 8.6016000000e+04; 4.6973538031e+09; 0.0000000000e+00; 2.8765997056e+09; 1.8207540975e+09; 4.6329774080e+09
1286846100; 2.9600000000e+02; 2.0266005906e-01; 8.6016000000e+04; 4.6973542400e+09; 0.0000000000e+00; 2.8766003200e+09; 1.8207539200e+09; 4.6329774080e+09
1286846400; 2.9500666667e+02; 1.9735997067e-01; 8.6016000000e+04; 4.6972240418e+09; 0.0000000000e+00; 2.8764172288e+09; 1.8208068130e+09; 4.6329774080e+09
1286846700; 2.9500000000e+02; 2.0663552583e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8765343881e+09; 1.8206887799e+09; 4.6329774080e+09
1286847000; 2.9400333333e+02; 2.0334444444e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8765266193e+09; 1.8206965487e+09; 4.6329774080e+09
1286847300; 2.9599333333e+02; 1.9934887412e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8765470037e+09; 1.8206761643e+09; 4.6329774080e+09
1286847600; 2.9600000000e+02; 2.1394874758e-01; 8.6016000000e+04; 4.6973533662e+09; 0.0000000000e+00; 2.8766813389e+09; 1.8206720273e+09; 4.6329774080e+09
1286847900; 2.9400666667e+02; 2.0336904496e-01; 8.6016000000e+04; 4.6972236049e+09; 0.0000000000e+00; 2.8765148638e+09; 1.8207087411e+09; 4.6329774080e+09
1286848200; 2.9599333333e+02; 5.8013514212e-01; 8.6016000000e+04; 4.6973538031e+09; 0.0000000000e+00; 2.8766735155e+09; 1.8206802876e+09; 4.6329774080e+09
1286848500; 2.9401333333e+02; 2.0652925773e-01; 8.6016000000e+04; 4.6972240418e+09; 0.0000000000e+00; 2.8764543386e+09; 1.8207697033e+09; 4.6329774080e+09
1286848800; 2.9599333333e+02; 1.9669115570e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8764814404e+09; 1.8207417276e+09; 4.6329774080e+09
1286849100; 2.9699666667e+02; 2.0331111111e-01; 8.6016000000e+04; 4.6973538031e+09; 0.0000000000e+00; 2.8766652416e+09; 1.8206885615e+09; 4.6329774080e+09
1286849400; 2.9600333333e+02; 1.9934887412e-01; 8.6016000000e+04; 4.6972236049e+09; 0.0000000000e+00; 2.8766005385e+09; 1.8206230665e+09; 4.6329774080e+09
1286849700; 2.9798666667e+02; 1.9069345215e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8765840452e+09; 1.8206391228e+09; 4.6329774080e+09
1286850000; 2.9600666667e+02; 1.9996878484e-01; 8.6016000000e+04; 4.6973538031e+09; 0.0000000000e+00; 2.8661780343e+09; 1.8311757687e+09; 4.6329774080e+09
1286850300; 2.9600000000e+02; 1.8671111111e-01; 8.6016000000e+04; 4.6972236049e+09; 0.0000000000e+00; 2.8239930027e+09; 1.8732306022e+09; 4.6329774080e+09
1286850600; 2.9500333333e+02; 1.9331111111e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8238561143e+09; 1.8733670537e+09; 4.6329774080e+09
1286850900; 2.9500000000e+02; 2.0330000000e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8238561280e+09; 1.8733670400e+09; 4.6329774080e+09
1286851200; 2.9500000000e+02; 1.9004444444e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8238642927e+09; 1.8733588753e+09; 4.6329774080e+09
1286851500; 2.9500000000e+02; 1.9930442968e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8238561553e+09; 1.8733670127e+09; 4.6329774080e+09
1286851800; 2.9500000000e+02; 6.3586625037e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8238886775e+09; 1.8733344905e+09; 4.6329774080e+09
1286852100; 2.9500000000e+02; 1.9481820884e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8238888960e+09; 1.8733342720e+09; 4.6329774080e+09
1286852400; 2.9500000000e+02; 1.9997777778e-01; 8.6016000000e+04; 4.6972231680e+09; 0.0000000000e+00; 2.8239011430e+09; 1.8733220250e+09; 4.6329774080e+09
1286852700; 2.9599666667e+02; 1.8338888889e-01; 8.6016000000e+04; 4.6973538031e+09; 0.0000000000e+00; 2.8241093837e+09; 1.8732444194e+09; 4.6329774080e+09
1286853000; 2.9600000000e+02; 1.9330000000e-01; 8.6016000000e+04; 4.6973542400e+09; 0.0000000000e+00; 2.8241672329e+09; 1.8731870071e+09; 4.6329774080e+09
1286853300; 2.9500333333e+02; 1.9931554079e-01; 8.6016000000e+04; 4.6974277222e+09; 0.0000000000e+00; 2.8252410812e+09; 1.8721866411e+09; 4.6329774080e+09
