etime;apache2_18_vmstk;apache2_18_threads;apache2_18_conns;apache2_18_vmdata;apache2_18_vmsize;apache2_18_vmswap;apache2_18_vmrss;localhost_processload_apache2_28
1286843400; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3222222222e-03
1286843700; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.1111111111e-05
1286844000; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3111849391e-03
1286844300; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3443334556e-03
1286844600; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3333704942e-03
1286844900; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.1111111111e-05
1286845200; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 0.0000000000e+00
1286845500; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3222222222e-03
1286845800; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.1111111111e-05
1286846100; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3111849391e-03
1286846400; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 2.2148394241e-05
1286846700; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3222222222e-03
1286847000; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3333333333e-03
1286847300; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.1111111111e-05
1286847600; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3221850613e-03
1286847900; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.1148272018e-05
1286848200; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 0.0000000000e+00
1286848500; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3221850613e-03
1286848800; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.1148272018e-05
1286849100; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 0.0000000000e+00
1286849400; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3111849391e-03
1286849700; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3443334556e-03
1286850000; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.1148272018e-05
1286850300; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3222222222e-03
1286850600; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3333333333e-03
1286850900; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 1.1111111111e-05
1286851200; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 0.0000000000e+00
1286851500; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 3.3111849391e-03
1286851800; 8.6016000000e+04; 1.0000000000e+00; 0.0000000000e+00; 6.8116480000e+06; 3.0052352000e+08; 2.8513484800e+08; 1.5388672000e+07; 2.2148394241e-05
